Distance,1000000,2000000,3000000
2314.814814814815,813.3348493,750.5540143,723.9813168
2120.3703703703704,787.8440136,729.6108548,704.1813286
1907.4074074074074,757.898899,702.7277159,678.4338466
1731.4814814814813,744.3118925,691.8816558,668.5014354
1611.111111111111,730.5392357,679.9969846,657.2345549
1416.6666666666665,707.9449625,660.3998211,591.337993
1203.7037037037037,673.0982995,628.8064311,571.4562927
1027.7777777777776,650.5940268,557.0792473,554.4960328
700.0,613.4616255423405,547.5637820930333,508.684010059377
350.0,570.1096068660759,501.3752565946057,459.7978783205307
