CO2;Flow;Rcapture;RCO2;Qreb;Treb;Wpumps;Wcfg;Wc1;Wc2;Wc3;Wrefr1;Wrefr2;Wrecomp;Makeup;Habs;Dabs;Qwash;Tinwash;Toutwash;Qtoabs;Tintoabs;Touttoabs;Qstrip;Tinstrip;Toutstrip;Qlean;Tinlean;Toutlean;Qint2;Tinint2;Toutint2;Qint1;Tinint1;Toutint1;Qdcc;Tindcc;Toutdcc;Qdhx;Tindhx;Toutdhx;Qdry;Tindry;Toutdry;Qdum;Tindum;Toutdum;Qliq;COP;Qrcond;Tinrcond;Toutrcond;Qrint;Tinrint;Toutrint;Qpreliq;Tinpreliq;Toutpreliq
11;80;94;0,946844442;46855,2437;121,102073;59,6393827;1746,81585;875,770537;816,23862;736,243828;900,450054;721,335039;40,6462228;0,023016981;21;6,86488889;-1007,55674;329,4115584;303,15;-13795,718;423,15;294,15;-9738,96652;368,4288696;303,15;-8208,29358;321,7882956;313,15;-866,165572;367,450015;293,15;-1215,11277;378,5919177;293,15;-3439,68154;293,15;283,15;-7058,74065;323,3871543;303,15;-12638,789;328,9148704;313,15;-3095,89389;459,7618564;423,15;-4161,59287;2,566056926;-5152,56844;376,9693477;303,6846362;-549,7199;354,9594962;293,15;-945,36911;358,8512102;293,15
11;80;90;0,90769327;43183,9894;121,151113;56,8823493;1746,81585;839,597042;782,523576;705,831581;863,214371;691,506174;39,0103192;0,026059453;21;6,83393279;-1108,99547;331,950388;303,15;-13795,718;423,15;294,15;-8642,92136;367,1588019;303,15;-6271,38151;320,3858119;313,15;-830,389582;367,4498319;293,15;-1164,92787;378,5917172;293,15;-3439,68154;293,15;283,15;-7058,74065;323,3871543;303,15;-15958,4328;331,452455;313,15;-3095,89389;459,7618564;423,15;-3989,50142;2,566056924;-4939,49786;376,9693477;303,6846362;-526,987716;354,9594962;293,15;-906,335015;358,8427599;293,15
11;80;86;0,854366086;40010,3245;121,174812;54,7906647;1746,81585;790,261531;736,541587;664,356761;812,476536;650,860967;36,7320106;0,024407305;21;6,73353915;-1119,09359;332,2122326;303,15;-13795,718;423,15;294,15;-7896,73845;366,6611727;303,15;-5186,79542;319,6337667;313,15;-781,595245;367,4497658;293,15;-1096,47743;378,5916467;293,15;-3439,68154;293,15;283,15;-7058,74065;323,3871543;303,15;-16443,981;331,719287;313,15;-3095,89389;459,7618564;423,15;-3755,00733;2,566056923;-4649,16508;376,9693477;303,6846362;-496,012542;354,9594962;293,15;-853,081775;358,839833;293,15
11;80;82;0,822687605;38370,8429;121,184168;53,7636102;1746,81585;760,95147;709,223915;639,716235;782,339349;626,718586;35,3718897;0,023035706;21;6,67395851;-1113,41206;332,0758921;303,15;-13795,718;423,15;294,15;-7553,84371;366,5499771;303,15;-4709,9856;319,2939938;313,15;-752,606643;367,4497566;293,15;-1055,8103;378,5916376;293,15;-3439,68154;293,15;283,15;-7058,74065;323,3871543;303,15;-16323,7458;331,5856357;313,15;-3095,89389;459,7618564;423,15;-3615,72287;2,566056924;-4476,71363;376,9693477;303,6846362;-477,613952;354,9594962;293,15;-821,062892;358,8086153;293,15
11;80;78;0,777724338;36203,6305;121,194669;52,4411426;1746,81585;719,350275;670,450678;604,742975;739,570901;592,457519;33,437374;0,020993143;21;6,59161524;-1098,6696;331,7143557;303,15;-13795,718;423,15;294,15;-7125,7729;366,5139972;303,15;-4136,88121;318,8700144;313,15;-711,46166;367,4497569;293,15;-998,089035;378,5916377;293,15;-3439,68154;293,15;283,15;-7058,74065;323,3871543;303,15;-15919,3215;331,2279199;313,15;-3095,89389;459,7618564;423,15;-3418,06075;2,566056924;-4231,9834;376,9693477;303,6846362;-451,504045;354,9594962;293,15;-776,909994;358,8717575;293,15
11;50;94;0,938411208;28821,6711;121,113814;37,4076057;1091,7599;542,491528;505,61475;456,061645;557,78041;446,828286;25,1835701;0,01514437;20;5,42991615;-1040,74445;330,1843311;303,15;-8622,32374;423,15;294,15;-5954,25576;368,2158653;303,15;-4848,95683;321,4608926;313,15;-536,541955;367,4499826;293,15;-752,695748;378,591879;293,15;-2149,80308;293,15;283,15;-4411,71739;323,3871543;303,15;-8251,93681;329,387787;313,15;-1934,93368;459,7618564;423,15;-2577,8831;2,566056924;-3191,7392;376,9693477;303,6846362;-340,521931;354,9594962;293,15;-585,610099;358,8493663;293,15
11;50;90;0,901309212;26882,5456;121,151077;35,9741297;1091,7599;521,058286;485,638212;438,043334;535,716825;429,153527;24,2079803;0,016160592;20;5,3966567;-1108,8388;331,8795591;303,15;-8622,32374;423,15;294,15;-5401,34158;367,2748924;303,15;-3913,04228;320,3959761;313,15;-515,343997;367,4498419;293,15;-722,960061;378,5917307;293,15;-2149,80308;293,15;283,15;-4411,71739;323,3871543;303,15;-9657,29235;331,0874672;313,15;-1934,93368;459,7618564;423,15;-2475,91225;2,566056927;-3065,48663;376,9693477;303,6846362;-327,052231;354,9594962;293,15;-562,476213;358,8435301;293,15
11;50;86;0,858008674;25422,8414;121,166932;35,0264192;1091,7599;496,023594;462,305281;416,997518;509,973724;408,531172;23,0482976;0,015364545;19;5,33930511;-1113,59741;332,0023291;303,15;-8622,32374;423,15;294,15;-5086,26493;367,0941532;303,15;-3445,84338;319,9066027;313,15;-490,583875;367,4498183;293,15;-688,225203;378,5917047;293,15;-2149,80308;293,15;283,15;-4411,71739;323,3871543;303,15;-9821,75187;331,2161999;313,15;-1934,93368;459,7618564;423,15;-2356,93585;2,566056926;-2918,17908;376,9693477;303,6846362;-311,336207;354,9594962;293,15;-535,466807;358,8442411;293,15
11;50;82;0,81818549;24117,3026;121,179305;34,1919103;1091,7599;472,995828;440,842848;397,637484;486,296612;389,563845;21,9802279;0,014361095;19;5,28263128;-1108,90759;331,8899303;303,15;-8622,32374;423,15;294,15;-4808,00747;366,9483468;303,15;-3055,40539;319,471934;313,15;-467,808763;367,4498091;293,15;-656,274528;378,5916946;293,15;-2149,80308;293,15;283,15;-4411,71739;323,3871543;303,15;-9780,89649;331,1088328;313,15;-1934,93368;459,7618564;423,15;-2247,50779;2,566056924;-2782,69357;376,9693477;303,6846362;-296,881458;354,9594962;293,15;-510,59453;358,8417037;293,15
11;50;78;0,780447727;22956,6407;121,188793;33,4680016;1091,7599;451,173874;420,504268;379,293287;463,860056;371,590307;20,9660466;0,013343362;19;5,2295837;-1098,34048;331,6306764;303,15;-8622,32374;423,15;294,15;-4574,70758;366,9062393;303,15;-2738,12446;319,1031123;313,15;-446,225985;367,4498042;293,15;-625,997038;378,5916957;293,15;-2149,80308;293,15;283,15;-4411,71739;323,3871543;303,15;-9612,00707;330,8541025;313,15;-1934,93368;459,7618564;423,15;-2143,81319;2,566056926;-2654,30678;376,9693477;303,6846362;-283,184062;354,9594962;293,15;-486,663637;358,7906669;293,15
