eta,NPV,bag,floor,tires,imported,Name
1.1138271862303009,-79628167.51232046,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1012980218663582,-714979186.055784,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1275167714284025,-321777263.62652194,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1296516762147637,-496375864.0303551,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.112159180368968,-710730270.9898591,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1479883400016693,-20741435.69460218,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1380954129993313,53378064.73552726,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1233296153804126,-181362015.19713542,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.140099071493649,-264014945.0348018,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1370580425800696,218821996.05342132,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1446875562377226,29005920.151803322,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1325817572883021,-95107074.32207468,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1264422305066055,148802412.82649726,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1253502155419348,-553243053.9604396,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1270471394446795,-136960452.75712532,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.112047656414599,209185821.09976497,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.14806855737521,-141523108.86721626,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1088670150734181,5765532.846714053,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.143980623573044,-258923146.01245174,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1511413625754174,-74722279.84221494,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.119442311385889,-363614898.3639672,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1261059659230763,-243592874.06341213,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1225143458070073,246863456.0411081,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.114394166673701,211356346.61293462,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1522805862975996,-150885138.12556267,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1265007105516833,-108237867.0564403,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1299300155563545,-59637913.439907804,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1257284219163022,222446760.91018948,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1308036256587104,-555688515.1103652,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1422863217205022,174789685.24644962,0.02704303675739111,0.011259579042567717,0.06217410649768032,3.4464582315787315,Renova 
1.1192031909353526,-55144123.54965161,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1078741032805033,-668690968.3212324,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1327848950056758,-296807329.9019944,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1341659151594101,-463138852.90269816,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.117609381165481,-654419275.9113235,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1518208894912323,5753028.798879493,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1420743866805372,77239066.94036514,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1280976625035088,-152098670.53787065,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1438966465304083,-238244191.40529755,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1410672773418058,255581683.34235182,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1486039569814417,64107300.95395393,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.138027171179294,-64972598.3344707,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1310254121327945,187600785.2715324,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1308457888453458,-519577081.6225514,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1316024363780905,-105343091.63187037,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.118330978359451,231375795.1883134,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
1.1519970621060704,-111112703.12743883,0.027583651543436807,0.011484668220594246,0.06341702317095811,3.5153560516052167,Renova 
